trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | KCuHCF,SPI+CBU (ours),12,88,93.0,49.63228039,136.3677196
Hu pH 7 | NaNiHCF,Log-Bayes,60,40,21.70600604,,
Hu pH 7 | NaNiHCF,Log-Bayes,72,28,18.27539922,,
Hu pH 7 | NaNiHCF,Log-Bayes,84,16,11.76855717,,
Hu pH 7 | NaNiHCF,Log-Bayes,96,4,2.163171697,,
Hu pH 7 | NaNiHCF,Log-Bayes,100,0,-1.0,,
Hu pH 9 | KCuHCF,SPI+CBU (ours),12,88,93.0,49.63228039,136.3677196
Hu pH 9 | KCuHCF,SPI+CBU (ours),24,76,81.0,37.63228039,124.3677196
Hu pH 9 | KCuHCF,SPI+CBU (ours),36,64,69.0,25.63228039,112.3677196
Hu pH 9 | KCuHCF,SPI+CBU (ours),48,52,34.0,25.17776857,42.82223143
Hu pH 9 | KCuHCF,SPI+CBU (ours),60,40,27.23216734,0.0,56.90420468
Hu pH 9 | KCuHCF,SPI+CBU (ours),72,28,20.0,0.0,51.29691277
Hu pH 9 | KCuHCF,SPI+CBU (ours),84,16,8.920994764,0.0,35.02836197
Hu pH 9 | KCuHCF,SPI+CBU (ours),96,4,5.0,0.0,19.62307651
Hu pH 9 | KCuHCF,SPI+CBU (ours),100,0,11.0,0.0,32.76124592
Hu pH 9 | KCuHCF,SPI+TBU,12,88,3.520021679,,
Hu pH 9 | KCuHCF,SPI+TBU,24,76,0.0,,
Hu pH 9 | KCuHCF,SPI+TBU,36,64,0.0,,
Hu pH 9 | KCuHCF,SPI+TBU,48,52,0.0,,
Hu pH 9 | KCuHCF,SPI+TBU,60,40,0.0,,
Hu pH 9 | KCuHCF,SPI+TBU,72,28,0.0,,
Hu pH 9 | KCuHCF,SPI+TBU,84,16,0.0,,
Hu pH 9 | KCuHCF,SPI+TBU,96,4,0.0,,
Hu pH 9 | KCuHCF,SPI+TBU,100,0,0.0,,
Hu pH 9 | KCuHCF,Lin,12,88,72.24567248,,
Hu pH 9 | KCuHCF,Lin,24,76,17.76464283,,
Hu pH 9 | KCuHCF,Lin,36,64,1.811659674,,
Hu pH 9 | KCuHCF,Lin,48,52,0.0,,
Hu pH 9 | KCuHCF,Lin,60,40,0.0,,
Hu pH 9 | KCuHCF,Lin,72,28,0.0,,
Hu pH 9 | KCuHCF,Lin,84,16,0.0,,
Hu pH 9 | KCuHCF,Lin,96,4,0.0,,
Hu pH 9 | KCuHCF,Lin,100,0,0.0,,
Hu pH 9 | KCuHCF,Log-Bayes,12,88,1.849513349,,
Hu pH 9 | KCuHCF,Log-Bayes,24,76,-3.0,,
Hu pH 9 | KCuHCF,Log-Bayes,36,64,-8.0,,
Hu pH 9 | KCuHCF,Log-Bayes,48,52,-14.0,,
Hu pH 9 | KCuHCF,Log-Bayes,60,40,-19.0,,
Hu pH 9 | KCuHCF,Log-Bayes,72,28,-25.0,,
Hu pH 9 | KCuHCF,Log-Bayes,84,16,-31.0,,
Hu pH 9 | KCuHCF,Log-Bayes,96,4,-37.0,,
Hu pH 9 | KCuHCF,Log-Bayes,100,0,-39.0,,
Hu pH 9 | KFeHCF,SPI+CBU (ours),12,88,93.0,49.63228039,136.3677196
Hu pH 9 | KFeHCF,SPI+CBU (ours),24,76,81.0,37.63228039,124.3677196
Hu pH 9 | KFeHCF,SPI+CBU (ours),36,64,45.61940979,45.61940806,45.61941153
Hu pH 9 | KFeHCF,SPI+CBU (ours),48,52,41.76252837,0.453999128,83.07105762
Hu pH 9 | KFeHCF,SPI+CBU (ours),60,40,34.54166298,0.0,69.4540962
Hu pH 9 | KFeHCF,SPI+CBU (ours),72,28,21.72782602,0.0,48.94591876
Hu pH 9 | KFeHCF,SPI+CBU (ours),84,16,9.727826019,0.0,29.97373516
Hu pH 9 | KFeHCF,SPI+CBU (ours),96,4,4.0,0.0,20.13279169
Hu pH 9 | KFeHCF,SPI+CBU (ours),100,0,8.567123448,0.0,30.4577744
Hu pH 9 | KFeHCF,SPI+TBU,12,88,18.33088742,,
Hu pH 9 | KFeHCF,SPI+TBU,24,76,10.0,,
Hu pH 9 | KFeHCF,SPI+TBU,36,64,5.945179837,,
Hu pH 9 | KFeHCF,SPI+TBU,48,52,0.0,,
Hu pH 9 | KFeHCF,SPI+TBU,60,40,0.0,,
Hu pH 9 | KFeHCF,SPI+TBU,72,28,0.0,,
Hu pH 9 | KFeHCF,SPI+TBU,84,16,0.0,,
Hu pH 9 | KFeHCF,SPI+TBU,96,4,0.0,,
Hu pH 9 | KFeHCF,SPI+TBU,100,0,0.0,,
Hu pH 9 | KFeHCF,Lin,12,88,91.97402685,,
Hu pH 9 | KFeHCF,Lin,24,76,28.97351386,,
Hu pH 9 | KFeHCF,Lin,36,64,8.0,,
Hu pH 9 | KFeHCF,Lin,48,52,0.0,,
Hu pH 9 | KFeHCF,Lin,60,40,0.0,,
Hu pH 9 | KFeHCF,Lin,72,28,0.0,,
Hu pH 9 | KFeHCF,Lin,84,16,0.0,,
Hu pH 9 | KFeHCF,Lin,96,4,0.0,,
Hu pH 9 | KFeHCF,Lin,100,0,0.0,,
Hu pH 9 | KFeHCF,Log-Bayes,12,88,11.0,,
Hu pH 9 | KFeHCF,Log-Bayes,24,76,4.479505726,,
Hu pH 9 | KFeHCF,Log-Bayes,36,64,0.0,,
Hu pH 9 | KFeHCF,Log-Bayes,48,52,-6.0,,
Hu pH 9 | KFeHCF,Log-Bayes,60,40,-12.0,,
Hu pH 9 | KFeHCF,Log-Bayes,72,28,-17.0,,
Hu pH 9 | KFeHCF,Log-Bayes,84,16,-23.0,,
Hu pH 9 | KFeHCF,Log-Bayes,96,4,-30.0,,
Hu pH 9 | KFeHCF,Log-Bayes,100,0,-32.0,,
