panel,x,acc_noGM_mean,acc_noGM_sd,acc_GM_mean,acc_GM_sd
Task 3 (KCoHCF 90%),50.0,0.0,,1.0,
Task 3 (KCoHCF 90%),50.1,0.825,,1.0,
Task 3 (KCoHCF 90%),53.8,0.77,,0.965,
Task 3 (KCoHCF 90%),54.2,0.0,,1.0,
Task 3 (KCoHCF 90%),54.3,0.192,,1.0,
Task 3 (KCoHCF 90%),57.9,0.982,,0.918,
Task 3 (KCoHCF 90%),58.4,0.0,,1.0,
Task 3 (KCoHCF 90%),58.5,0.03,,0.988,
Task 3 (KCoHCF 90%),62.1,0.995,,0.982,
Task 3 (KCoHCF 90%),62.5,0.0,,0.862,
Task 3 (KCoHCF 90%),62.6,0.262,,0.985,
Task 3 (KCoHCF 90%),66.2,0.94,,0.955,
Task 3 (KCoHCF 90%),66.7,0.0,,1.0,
Task 3 (KCoHCF 90%),66.8,0.25,,0.938,
Task 3 (KCoHCF 90%),70.3,0.995,,1.0,
Task 3 (KCoHCF 90%),70.9,0.0,,1.0,
Task 3 (KCoHCF 90%),71.0,0.098,,0.782,
Task 3 (KCoHCF 90%),74.5,0.998,,1.0,
Task 3 (KCoHCF 90%),75.0,0.0,,1.0,
Task 3 (KCoHCF 90%),75.2,0.065,,0.742,
Task 3 (KCoHCF 90%),78.6,1.0,,1.0,
Task 3 (KCoHCF 90%),79.2,0.0,,0.852,
Task 3 (KCoHCF 90%),79.3,0.002,,1.0,
Task 3 (KCoHCF 90%),82.8,0.995,,0.998,
Task 3 (KCoHCF 90%),83.4,0.0,,1.0,
Task 3 (KCoHCF 90%),83.5,0.0,,0.518,
Task 3 (KCoHCF 90%),86.9,1.0,,1.0,
Task 3 (KCoHCF 90%),87.5,0.0,,0.918,
Task 3 (KCoHCF 90%),87.7,0.0,,0.588,
Task 3 (KCoHCF 90%),91.0,1.0,,1.0,
Task 3 (KCoHCF 90%),91.7,0.758,,1.0,
Task 3 (KCoHCF 90%),91.9,0.0,,0.61,
Task 3 (KCoHCF 90%),95.2,1.0,,1.0,
Task 3 (KCoHCF 90%),95.9,0.732,,1.0,
Task 3 (KCoHCF 90%),96.0,0.0,,0.71,
Task 3 (KCoHCF 90%),99.3,1.0,,1.0,
Task 3 (KCoHCF 90%),100.0,0.5276666666666666,0.4976910018609271,0.9973333333333332,0.004618802153517
Task 3 (Urea 86%),4.0,0.4584999999999999,0.3486036431249679,0.831,0.239002092041053
Task 3 (Urea 86%),4.1,0.03,,1.0,
Task 3 (Urea 86%),7.9,0.148,,0.762,
Task 3 (Urea 86%),8.0,0.525,,0.855,
Task 3 (Urea 86%),8.2,0.018,,0.925,
Task 3 (Urea 86%),11.9,0.105,,0.928,
Task 3 (Urea 86%),12.0,0.492,,0.925,
Task 3 (Urea 86%),12.3,0.02,,0.905,
Task 3 (Urea 86%),15.8,0.132,,0.918,
Task 3 (Urea 86%),15.9,0.51,,0.958,
Task 3 (Urea 86%),16.4,0.005,,0.95,
Task 3 (Urea 86%),19.8,0.11,,0.955,
Task 3 (Urea 86%),19.9,0.42,,0.972,
Task 3 (Urea 86%),20.5,0.005,,0.94,
Task 3 (Urea 86%),23.8,0.032,,0.94,
Task 3 (Urea 86%),23.9,0.328,,0.955,
Task 3 (Urea 86%),24.6,0.0,,0.915,
Task 3 (Urea 86%),27.7,0.01,,0.92,
Task 3 (Urea 86%),27.9,0.12,,0.945,
Task 3 (Urea 86%),28.7,0.0,,0.928,
