trajectory,method,cycle,actual_retention,pred_retention
Hu pH 7 | NaNiHCF,SPI+TBU,12,76.51083,66.33981944
Hu pH 7 | NaNiHCF,SPI+TBU,24,70.094678,69.44481058
Hu pH 7 | NaNiHCF,SPI+TBU,36,68.75333,62.90782577
Hu pH 7 | NaNiHCF,SPI+TBU,48,66.61169,62.76697043
Hu pH 7 | NaNiHCF,SPI+TBU,60,65.362674,63.60135887
Hu pH 7 | NaNiHCF,SPI+TBU,72,64.114248,64.09068479
Hu pH 7 | NaNiHCF,SPI+TBU,84,62.247166,64.07293845
Hu pH 7 | NaNiHCF,SPI+TBU,96,60.59303,63.28035946
Hu pH 7 | NaNiHCF,SPI+TBU,100,60.065576,62.11224504
Hu pH 7 | NaNiHCF,Lin,12,76.51083,64.85426415
Hu pH 7 | NaNiHCF,Lin,24,70.094678,79.81805022
Hu pH 7 | NaNiHCF,Lin,36,68.75333,67.4855685
Hu pH 7 | NaNiHCF,Lin,48,66.61169,60.67479416
Hu pH 7 | NaNiHCF,Lin,60,65.362674,57.48899881
Hu pH 7 | NaNiHCF,Lin,72,64.114248,56.1410276
Hu pH 7 | NaNiHCF,Lin,84,62.247166,55.55101485
Hu pH 7 | NaNiHCF,Lin,96,60.59303,54.90169643
Hu pH 7 | NaNiHCF,Lin,100,60.065576,56.03402858
Hu pH 7 | NaNiHCF,Log-Bayes,12,76.51083,86.06371147
Hu pH 7 | NaNiHCF,Log-Bayes,24,70.094678,69.88819609
Hu pH 7 | NaNiHCF,Log-Bayes,36,68.75333,63.30498699
Hu pH 7 | NaNiHCF,Log-Bayes,48,66.61169,62.49752198
Hu pH 7 | NaNiHCF,Log-Bayes,60,65.362674,61.93855576
Hu pH 7 | NaNiHCF,Log-Bayes,72,64.114248,61.34045881
Hu pH 7 | NaNiHCF,Log-Bayes,84,62.247166,60.76110424
Hu pH 7 | NaNiHCF,Log-Bayes,96,60.59303,60.04077175
Hu pH 7 | NaNiHCF,Log-Bayes,100,60.065576,59.86733492
Hu pH 9 | KCuHCF,SPI+CBU (ours),12,15.066408,67.31452535
Hu pH 9 | KCuHCF,SPI+CBU (ours),24,9.00269,-9.049692745
Hu pH 9 | KCuHCF,SPI+CBU (ours),36,7.251776,2.084182314
Hu pH 9 | KCuHCF,SPI+CBU (ours),48,6.37798,11.39545477
Hu pH 9 | KCuHCF,SPI+CBU (ours),60,5.81208,7.29915846
Hu pH 9 | KCuHCF,SPI+CBU (ours),72,5.403038,6.129345714
Hu pH 9 | KCuHCF,SPI+CBU (ours),84,5.03999,5.314319873
Hu pH 9 | KCuHCF,SPI+CBU (ours),96,4.759736,4.495299659
Hu pH 9 | KCuHCF,SPI+CBU (ours),100,4.671702,4.752346341
Hu pH 9 | KCuHCF,SPI+TBU,12,15.066408,67.31452535
Hu pH 9 | KCuHCF,SPI+TBU,24,9.00269,-9.049692745
Hu pH 9 | KCuHCF,SPI+TBU,36,7.251776,-4.666660886
Hu pH 9 | KCuHCF,SPI+TBU,48,6.37798,3.472414806
Hu pH 9 | KCuHCF,SPI+TBU,60,5.81208,10.0101547
Hu pH 9 | KCuHCF,SPI+TBU,72,5.403038,13.5048146
Hu pH 9 | KCuHCF,SPI+TBU,84,5.03999,14.69100485
Hu pH 9 | KCuHCF,SPI+TBU,96,4.759736,14.71661257
Hu pH 9 | KCuHCF,SPI+TBU,100,4.671702,11.62862035
Hu pH 9 | KCuHCF,Lin,12,15.066408,65.8667466
Hu pH 9 | KCuHCF,Lin,24,9.00269,35.00607835
Hu pH 9 | KCuHCF,Lin,36,7.251776,9.11962196
Hu pH 9 | KCuHCF,Lin,48,6.37798,-4.279954479
Hu pH 9 | KCuHCF,Lin,60,5.81208,-9.526137886
Hu pH 9 | KCuHCF,Lin,72,5.403038,-10.44964639
Hu pH 9 | KCuHCF,Lin,84,5.03999,-9.789715966
Hu pH 9 | KCuHCF,Lin,96,4.759736,-8.729085421
Hu pH 9 | KCuHCF,Lin,100,4.671702,-5.107233407
Hu pH 9 | KCuHCF,Log-Bayes,12,15.066408,18.40831445
Hu pH 9 | KCuHCF,Log-Bayes,24,9.00269,-19.93416989
Hu pH 9 | KCuHCF,Log-Bayes,36,7.251776,-14.41516331
Hu pH 9 | KCuHCF,Log-Bayes,48,6.37798,-10.60026293
Hu pH 9 | KCuHCF,Log-Bayes,60,5.81208,-8.223891321
Hu pH 9 | KCuHCF,Log-Bayes,72,5.403038,-6.750298862
Hu pH 9 | KCuHCF,Log-Bayes,84,5.03999,-5.610321021
Hu pH 9 | KCuHCF,Log-Bayes,96,4.759736,-4.870703165
Hu pH 9 | KCuHCF,Log-Bayes,100,4.671702,-3.165289047
Hu pH 9 | KFeHCF,SPI+CBU (ours),12,35.57676,67.03831787
Hu pH 9 | KFeHCF,SPI+CBU (ours),24,23.304524,19.1953749
Hu pH 9 | KFeHCF,SPI+CBU (ours),36,19.069034,15.30132594
Hu pH 9 | KFeHCF,SPI+CBU (ours),48,16.913438,19.88811162
Hu pH 9 | KFeHCF,SPI+CBU (ours),60,15.87615,17.63303929
Hu pH 9 | KFeHCF,SPI+CBU (ours),72,14.856554,15.8665963
Hu pH 9 | KFeHCF,SPI+CBU (ours),84,14.390812,14.41012366
Hu pH 9 | KFeHCF,SPI+CBU (ours),96,13.785152,13.2886759
Hu pH 9 | KFeHCF,SPI+CBU (ours),100,13.537236,13.57062352
Hu pH 9 | KFeHCF,SPI+TBU,12,35.57676,67.03831787
Hu pH 9 | KFeHCF,SPI+TBU,24,23.304524,19.1953749
Hu pH 9 | KFeHCF,SPI+TBU,36,19.069034,13.12457456
Hu pH 9 | KFeHCF,SPI+TBU,48,16.913438,13.89943317
Hu pH 9 | KFeHCF,SPI+TBU,60,15.87615,16.21727873
Hu pH 9 | KFeHCF,SPI+TBU,72,14.856554,18.1216742
Hu pH 9 | KFeHCF,SPI+TBU,84,14.390812,19.00262003
Hu pH 9 | KFeHCF,SPI+TBU,96,13.785152,19.27957765
Hu pH 9 | KFeHCF,SPI+TBU,100,13.537236,17.75331025
Hu pH 9 | KFeHCF,Lin,12,35.57676,65.58471869
Hu pH 9 | KFeHCF,Lin,24,23.304524,51.68250721
Hu pH 9 | KFeHCF,Lin,36,19.069034,26.21992073
Hu pH 9 | KFeHCF,Lin,48,16.913438,9.816783648
Hu pH 9 | KFeHCF,Lin,60,15.87615,1.611678681
Hu pH 9 | KFeHCF,Lin,72,14.856554,-1.277986456
Hu pH 9 | KFeHCF,Lin,84,14.390812,-1.848574549
Hu pH 9 | KFeHCF,Lin,96,13.785152,-1.505455729
Hu pH 9 | KFeHCF,Lin,100,13.537236,2.440993498
Hu pH 9 | KFeHCF,Log-Bayes,12,35.57676,45.20502981
Hu pH 9 | KFeHCF,Log-Bayes,24,23.304524,12.08150957
Hu pH 9 | KFeHCF,Log-Bayes,36,19.069034,6.392310448
Hu pH 9 | KFeHCF,Log-Bayes,48,16.913438,5.14580993
Hu pH 9 | KFeHCF,Log-Bayes,60,15.87615,4.787355053
Hu pH 9 | KFeHCF,Log-Bayes,72,14.856554,4.781038607
Hu pH 9 | KFeHCF,Log-Bayes,84,14.390812,4.827063873
Hu pH 9 | KFeHCF,Log-Bayes,96,13.785152,4.899733556
Hu pH 9 | KFeHCF,Log-Bayes,100,13.537236,6.375599775
Hu pH 9 | KMnHCF,SPI+CBU (ours),12,87.529366,66.19914143
Hu pH 9 | KMnHCF,SPI+CBU (ours),24,79.057106,85.86454419
Hu pH 9 | KMnHCF,SPI+CBU (ours),36,73.837702,77.39655657
Hu pH 9 | KMnHCF,SPI+CBU (ours),48,71.04206,73.43531749
Hu pH 9 | KMnHCF,SPI+CBU (ours),60,68.925908,70.4397388
Hu pH 9 | KMnHCF,SPI+CBU (ours),72,67.070054,68.2636394
Hu pH 9 | KMnHCF,SPI+CBU (ours),84,65.684792,66.38324404
Hu pH 9 | KMnHCF,SPI+CBU (ours),96,65.66187,64.94737178
Hu pH 9 | KMnHCF,SPI+CBU (ours),100,65.542838,65.44031159
Hu pH 9 | KMnHCF,SPI+TBU,12,87.529366,66.19914143
Hu pH 9 | KMnHCF,SPI+TBU,24,79.057106,83.78748233
Hu pH 9 | KMnHCF,SPI+TBU,36,73.837702,74.11494351
