material,threshold,replicate,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,87.0,1,SPI+TBU,2704.0,1360.0965377175808,100.5,,
KCoHCF,87.0,1,SPI+TBU,2873.0,1191.0965377175808,155.49670246790356,,
KCoHCF,87.0,1,SPI+TBU,3042.0,1022.0965377175808,194.47629446603605,,
KCoHCF,87.0,1,SPI+TBU,3211.0,853.0965377175808,276.573919472125,,
KCoHCF,87.0,1,SPI+TBU,3380.0,684.0965377175808,347.0802726552279,,
KCoHCF,87.0,1,SPI+TBU,3549.0,515.0965377175808,368.4434909076667,,
KCoHCF,87.0,1,SPI+TBU,3718.0,346.0965377175808,331.7237881184842,,
KCoHCF,87.0,1,SPI+TBU,3887.0,177.09653771758076,213.5078111657704,,
KCoHCF,87.0,1,SPI+TBU,4056.0,8.096537717580759,27.485979343232884,,
KCoHCF,87.0,1,SPI+TBU,4064.0,0.0965377175807589,0.0,,
KCoHCF,87.0,1,Lin,169.0,3895.0965377175808,3204.655702144319,,
KCoHCF,87.0,1,Lin,338.0,3726.0965377175808,3063.781573167039,,
KCoHCF,87.0,1,Lin,507.0,3557.0965377175808,2866.655702144319,,
KCoHCF,87.0,1,Lin,676.0,3388.0965377175808,2587.458512825895,,
KCoHCF,87.0,1,Lin,845.0,3219.0965377175808,2285.759937364398,,
KCoHCF,87.0,1,Lin,1014.0,3050.0965377175808,1819.8821120184216,,
KCoHCF,87.0,1,Lin,1183.0,2881.0965377175808,1265.0,,
KCoHCF,87.0,1,Lin,1352.0,2712.0965377175808,743.0,,
KCoHCF,87.0,1,Lin,1521.0,2543.0965377175808,423.5,,
KCoHCF,87.0,1,Lin,1690.0,2374.0965377175808,232.5,,
KCoHCF,87.0,1,Lin,1859.0,2205.0965377175808,123.0,,
KCoHCF,87.0,1,Lin,2028.0,2036.0965377175808,58.0,,
KCoHCF,87.0,1,Lin,2197.0,1867.0965377175808,13.0,,
KCoHCF,87.0,1,Lin,2366.0,1698.0965377175808,0.0,,
KCoHCF,87.0,1,Lin,2535.0,1529.0965377175808,0.0,,
KCoHCF,87.0,1,Lin,2704.0,1360.0965377175808,0.0,,
KCoHCF,87.0,1,Lin,2873.0,1191.0965377175808,0.0,,
KCoHCF,87.0,1,Lin,3042.0,1022.0965377175808,0.0,,
KCoHCF,87.0,1,Lin,3211.0,853.0965377175808,0.0,,
KCoHCF,87.0,1,Lin,3380.0,684.0965377175808,0.0,,
KCoHCF,87.0,1,Lin,3549.0,515.0965377175808,0.0,,
KCoHCF,87.0,1,Lin,3718.0,346.0965377175808,0.0,,
KCoHCF,87.0,1,Lin,3887.0,177.09653771758076,0.0,,
KCoHCF,87.0,1,Lin,4056.0,8.096537717580759,0.0,,
KCoHCF,87.0,1,Lin,4064.0,0.0965377175807589,0.0,,
KCoHCF,87.0,2,SPI+CBU (ours),189.0,4338.645167987508,4138.771834977148,3748.169860335984,4529.373809618312
