trajectory,electrolyte,electrode,method,cycle,actual_retention,true_RUL,pred_RUL,RUL_lo90,RUL_hi90,pred_retention,retention_lo,retention_hi,RUL_lo_cal90,RUL_hi_cal90
Shu | NaMnHCF,Shu,NaMnHCF,SPI+CBU (ours),96,30.164864,4,8.876831374,1,26.18763346,29.64390139,17.65936202,41.62844076,0,30.72343589
Shu | NaMnHCF,Shu,NaMnHCF,SPI+CBU (ours),100,29.837436,0,9.509809745,1,27.94917945,30.20069923,18.23713843,42.16426002,0,32.8842989
Shu | NaMnHCF,Shu,NaMnHCF,SPI+TBU,12,33.185236,88,0,0,0.943262612,67.00185289,20.77374844,113.2299573,,
Shu | NaMnHCF,Shu,NaMnHCF,SPI+TBU,24,30.38253,76,0,0,0,5.425636623,-8.686225201,19.53749845,,
Shu | NaMnHCF,Shu,NaMnHCF,SPI+TBU,36,30.72332,64,0,0,0,17.15256086,4.265748627,30.0393731,,
Shu | NaMnHCF,Shu,NaMnHCF,SPI+TBU,48,31.31549,52,0,0,0,26.64382676,13.91258035,39.37507317,,
Shu | NaMnHCF,Shu,NaMnHCF,SPI+TBU,60,31.209466,40,0,0,0,34.56048956,21.91597068,47.20500845,,
Shu | NaMnHCF,Shu,NaMnHCF,SPI+TBU,72,30.376064,28,0,0,0,38.89490856,26.37435908,51.41545804,,
Shu | NaMnHCF,Shu,NaMnHCF,SPI+TBU,84,30.144126,16,0,0,0,40.07504045,27.68353896,52.46654193,,
Shu | NaMnHCF,Shu,NaMnHCF,SPI+TBU,96,30.164864,4,0,0,0,39.65157498,27.37055125,51.9325987,,
Shu | NaMnHCF,Shu,NaMnHCF,SPI+TBU,100,29.837436,0,0,0,0,36.59249785,24.53473239,48.65026332,,
Shu | NaMnHCF,Shu,NaMnHCF,Lin,12,33.185236,88,44,24.4635225,137.2495,65.54117969,12.7237604,118.358599,,
Shu | NaMnHCF,Shu,NaMnHCF,Lin,24,30.38253,76,8.926884971,0,25.47659503,45.87664006,19.73464098,72.01863914,,
Shu | NaMnHCF,Shu,NaMnHCF,Lin,36,30.72332,64,0,0,7.021055064,27.50025956,1.487254987,53.51326413,,
Shu | NaMnHCF,Shu,NaMnHCF,Lin,48,31.31549,52,0,0,0.606774624,19.18787491,-6.79378685,45.16953667,,
Shu | NaMnHCF,Shu,NaMnHCF,Lin,60,31.209466,40,0,0,0,17.65669894,-8.177723324,43.49112121,,
Shu | NaMnHCF,Shu,NaMnHCF,Lin,72,30.376064,28,0,0,0,18.77155173,-6.878641875,44.42174533,,
Shu | NaMnHCF,Shu,NaMnHCF,Lin,84,30.144126,16,0,0,0,20.10467513,-5.380048297,45.58939856,,
Shu | NaMnHCF,Shu,NaMnHCF,Lin,96,30.164864,4,0,0,0,21.09296502,-4.257883858,46.4438139,,
Shu | NaMnHCF,Shu,NaMnHCF,Lin,100,29.837436,0,0,0,0,23.59978331,-1.511904605,48.71147122,,
Shu | NaMnHCF,Shu,NaMnHCF,Log-Bayes,12,33.185236,88,-1,-2,0.248264883,37.95541145,17.71899169,58.10929406,,
Shu | NaMnHCF,Shu,NaMnHCF,Log-Bayes,24,30.38253,76,-6,-9,-3,-2.329016256,-12.81403888,8.465732774,,
Shu | NaMnHCF,Shu,NaMnHCF,Log-Bayes,36,30.72332,64,-12,-15,-8,10.21488869,2.306380587,17.91360706,,
Shu | NaMnHCF,Shu,NaMnHCF,Log-Bayes,48,31.31549,52,-17,-22,-11,15.43555526,9.592696172,21.11255613,,
Shu | NaMnHCF,Shu,NaMnHCF,Log-Bayes,60,31.209466,40,-22,-28,-15,18.7795252,13.91976878,23.57502006,,
Shu | NaMnHCF,Shu,NaMnHCF,Log-Bayes,72,30.376064,28,-27,-34,-18,20.98456026,16.96070335,25.12218444,,
Shu | NaMnHCF,Shu,NaMnHCF,Log-Bayes,84,30.144126,16,-33,-41,-23,22.2650312,18.72152329,25.83136086,,
Shu | NaMnHCF,Shu,NaMnHCF,Log-Bayes,96,30.164864,4,-39,-47,-28,23.03370167,19.99193939,26.00833503,,
Shu | NaMnHCF,Shu,NaMnHCF,Log-Bayes,100,29.837436,0,-41,-50,-30,24.33694652,21.64280549,26.92843292,,
Shu | NaNiHCF,Shu,NaNiHCF,SPI+CBU (ours),12,99.29161,88,85.86829236,71,111.7800408,65.966117,19.99758951,111.9346445,50.49754484,121.2390399
Shu | NaNiHCF,Shu,NaNiHCF,SPI+CBU (ours),24,96.481522,76,76,60.09826899,95.87975979,95.59394585,82.71367229,108.4742194,44.9647668,107.0352332
Shu | NaNiHCF,Shu,NaNiHCF,SPI+CBU (ours),36,93.239946,64,62.71808091,49.96498865,83.39879893,92.99069189,80.84764256,105.1337412,33.71911872,91.71704311
Shu | NaNiHCF,Shu,NaNiHCF,SPI+CBU (ours),48,87.988576,52,50,39,70,89.47166246,77.5259648,101.4173601,23.11201384,76.88798616
Shu | NaNiHCF,Shu,NaNiHCF,SPI+CBU (ours),60,84.958404,40,37.86829236,26.71142104,55.08508217,85.62295329,73.67649343,97.56941315,13.25827276,62.47831197
Shu | NaNiHCF,Shu,NaNiHCF,SPI+CBU (ours),72,80.59878,28,25,15.97321673,38.50863777,81.43670573,69.44578137,93.42763009,5.453803584,44.54619642
Shu | NaNiHCF,Shu,NaNiHCF,SPI+CBU (ours),84,78.042538,16,12,4.989831337,22.7060256,77.2980972,65.27253787,89.32365653,0,27.3662189
Shu | NaNiHCF,Shu,NaNiHCF,SPI+CBU (ours),96,74.52707,4,3,0,11.63255202,73.11919436,61.0512834,85.18710531,0,13.08954508
Shu | NaNiHCF,Shu,NaNiHCF,SPI+CBU (ours),100,73.181172,0,2,0,7.632552017,73.12152022,61.28053972,84.96250072,0,8.620127515
Shu | NaNiHCF,Shu,NaNiHCF,SPI+TBU,12,99.29161,88,79.32810865,36.58607855,275.3722955,65.966117,19.99758951,111.9346445,,
Shu | NaNiHCF,Shu,NaNiHCF,SPI+TBU,24,96.481522,76,73,43.13380727,254.8345592,94.55847888,80.4456172,108.6713406,,
Shu | NaNiHCF,Shu,NaNiHCF,SPI+TBU,36,93.239946,64,63.57524816,35.69238849,206.9795112,93.05022243,80.15736661,105.9430783,,
Shu | NaNiHCF,Shu,NaNiHCF,SPI+TBU,48,87.988576,52,51.78762408,28,134.15,89.66013659,76.92248695,102.3977862,,
Shu | NaNiHCF,Shu,NaNiHCF,SPI+TBU,60,84.958404,40,32.92099476,18.84509422,69.1541438,85.56927399,72.92034414,98.21820384,,
Shu | NaNiHCF,Shu,NaNiHCF,SPI+TBU,72,80.59878,28,21.72782602,10,44.01709133,80.97201427,68.44911333,93.49491521,,
