material,replicate,cycle,pred_retention,ci_lo,ci_hi
KCoHCF,1,13494.294404300334,84.77438712304706,84.70008888577466,84.84868536031946
KCoHCF,1,13568.502280805731,84.76401273960028,84.68955857877272,84.83846690042783
KCoHCF,1,13643.118241555509,84.75363835196066,84.67902779994083,84.8282489039805
KCoHCF,1,13718.14453068814,84.74326396015113,84.66849655223574,84.81803136806651
KCoHCF,1,13793.58340468307,84.7328895641945,84.65796483859828,84.80781428979071
KCoHCF,1,13869.437132428584,84.72251516411343,84.64743266195318,84.79759766627369
KCoHCF,1,13945.707995290048,84.71214075993049,84.63690002520919,84.7873814946518
KCoHCF,1,14022.398287178496,84.70176635166811,84.626366931259,84.77716577207723
KCoHCF,1,14099.510314619723,84.69139193934859,84.61583338297926,84.76695049571792
KCoHCF,1,14177.046396823507,84.68101752299413,84.60529938323059,84.75673566275766
KCoHCF,1,14255.008865753449,84.67064310262677,84.59476493485754,84.746521270396
KCoHCF,1,14333.400066197102,84.66026867826847,84.58423004068864,84.7363073158483
KCoHCF,1,14412.22235583648,84.64989424994104,84.57369470353633,84.72609379634575
KCoHCF,1,14491.478105318973,84.63951981766621,84.56315892619712,84.7158807091353
KCoHCF,1,14571.169698328613,84.62914538146555,84.55262271145138,84.70566805147972
KCoHCF,1,14651.299531657889,84.61877094136054,84.54208606206355,84.69545582065753
KCoHCF,1,14731.870015279645,84.6083964973725,84.531548980782,84.68524401396299
KCoHCF,1,14812.883572419694,84.5980220495227,84.52101147033923,84.67503262870616
KCoHCF,1,14894.342639629658,84.58764759783223,84.51047353345163,84.66482166221283
KCoHCF,1,14976.249666860254,84.57727314232211,84.49993517281978,84.65461111182445
KCoHCF,1,15058.607117534977,84.56689868301322,84.48939639112822,84.64440097489822
KCoHCF,1,15141.417468624191,84.55652421992635,84.4788571910457,84.63419124880699
KCoHCF,1,15224.683210719593,84.54614975308212,84.46831757522503,84.62398193093921
