material,threshold,replicate,method,life,band_lo,band_hi,cycle,actual,true_RUL,pred_RUL,pred_retention,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,90.0,2,Lin,1208.4,1208.4,1389.2,950.0,91.7138487709091,258.4244643893228,263.0,91.51430787269534,,
KCoHCF,90.0,2,Lin,1208.4,1208.4,1389.2,1000.0,91.51659647,208.4244643893228,240.0,91.28172405926573,,
KCoHCF,90.0,2,Lin,1208.4,1208.4,1389.2,1050.0,91.12757377636365,158.4244643893228,197.0,91.09184381279644,,
KCoHCF,90.0,2,Lin,1208.4,1208.4,1389.2,1100.0,90.96043051727273,108.4244643893228,152.0,90.83110608698674,,
KCoHCF,90.0,2,Lin,1208.4,1208.4,1389.2,1150.0,90.5742035781818,58.42446438932279,110.0,90.56962405025706,,
KCoHCF,90.0,2,Lin,1208.4,1208.4,1389.2,1200.0,90.07525043,8.424464389322793,43.0,90.3230803059167,,
KCoHCF,90.0,2,Lin,1208.4,1208.4,1389.2,1208.0,90.00434050454545,0.424464389322793,32.0,90.20242044389812,,
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,58.0,99.37023838181818,1331.17457206328,1206.0,98.95038136788266,1038.9278940631157,1373.0721059368843
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,116.0,98.70836834636364,1273.17457206328,1161.0,99.0666404246128,993.9278940631156,1328.0721059368843
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,174.0,97.98893603,1215.17457206328,1106.0,98.47971485223798,938.9278940631156,1273.0721059368843
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,232.0,97.33599504090908,1157.17457206328,1047.0,97.86468981622632,899.6623633642438,1194.3376366357563
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,290.0,96.76271790636363,1099.17457206328,953.0,97.203041119599,792.1671971479196,1113.8328028520805
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,348.0,96.2946971009091,1041.17457206328,879.0,96.58123004280192,714.8468918980329,1043.153108101967
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,406.0,95.76695192363636,983.17457206328,812.0,96.00725534479238,649.2723279189152,974.7276720810848
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,464.0,95.34906845363636,925.17457206328,759.0,95.45920437895084,596.8731401134776,921.1268598865224
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,522.0,95.04073955636365,867.17457206328,725.0,94.93456506699016,564.7093301902862,885.2906698097138
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,580.0,94.7775413481818,809.17457206328,697.0,94.56453183639935,552.9930543006892,841.0069456993108
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,638.0,94.47351329545454,751.17457206328,687.0,94.24794145118292,582.3662455008305,791.6337544991695
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,696.0,94.11103353727272,693.17457206328,655.0,93.96622057503762,582.9025366525157,727.0974633474843
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,754.0,93.88138668727274,635.17457206328,616.0,93.65416860061076,568.8988165103287,663.1011834896713
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,812.0,93.35980485727272,577.17457206328,560.0,93.35230611472166,519.4220687057108,600.5779312942892
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,870.0,92.95950761363636,519.17457206328,496.0,93.02388721895215,455.3296360603935,536.6703639396065
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,928.0,92.74567039727272,461.17457206328,441.0,92.65475270773644,404.6895489248663,477.3104510751337
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,986.0,92.46340197636364,403.17457206328,389.0,92.31242266407068,359.5602024664439,418.4397975335561
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,1044.0,92.1942605781818,345.17457206328004,334.0,91.9908551059732,309.2742673776256,358.72573262237444
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,1102.0,91.84088435,287.17457206328004,281.0,91.6567949070014,255.8121041510392,306.18789584896086
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,1160.0,91.51264583363636,229.17457206328004,225.0,91.3496767995808,202.0479737155921,247.95202628440785
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,1218.0,91.18635042545452,171.17457206328004,168.0,91.01857928795212,138.23668820783342,197.7633117921665
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,1276.0,90.83243192727272,113.17457206328004,111.0,90.6794915856498,74.35045613169547,147.64954386830453
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,1334.0,90.34504275363636,55.17457206328004,52.0,90.3261354139952,14.102615419912098,89.8973845800879
KCoHCF,90.0,3,SPI+CBU (ours),1389.2,1208.4,1389.2,1389.0,90.00310179181818,0.1745720632800385,0.0,89.97458194502366,0.0,0.9243264531728757
KCoHCF,90.0,3,SPI+TBU,1389.2,1208.4,1389.2,58.0,99.37023838181818,1331.17457206328,1206.0,98.95038136788266,,
KCoHCF,90.0,3,SPI+TBU,1389.2,1208.4,1389.2,116.0,98.70836834636364,1273.17457206328,1165.0,99.06276323142832,,
KCoHCF,90.0,3,SPI+TBU,1389.2,1208.4,1389.2,174.0,97.98893603,1215.17457206328,1117.0,98.47054745224077,,
KCoHCF,90.0,3,SPI+TBU,1389.2,1208.4,1389.2,232.0,97.33599504090908,1157.17457206328,1031.0,97.85618602397624,,
KCoHCF,90.0,3,SPI+TBU,1389.2,1208.4,1389.2,290.0,96.76271790636363,1099.17457206328,925.0,97.17695714657182,,
KCoHCF,90.0,3,SPI+TBU,1389.2,1208.4,1389.2,348.0,96.2946971009091,1041.17457206328,808.0,96.54330825713244,,
